deal_name,deal_value_usd_bn,announced_date,sector,deal_type,status,cross_border,strategic_rationale,size_tier,risk_factors,value_drivers,research_relevance_score
Capital One Financial / Discover Financial Services,35.3,2024-02-19,Financial Services,Stock-for-Stock Merger,Pending Regulatory,False,Scale in payments network; combined credit card portfolio,Large-Cap ($20-50B),Size-related execution complexity; Regulatory approval uncertainty,Cost synergies; Revenue synergies,10
Mars Inc / Kellanova,35.9,2024-08-14,Consumer Staples,Cash Acquisition,Completed,False,Snacking portfolio expansion; global distribution synergies,Large-Cap ($20-50B),Size-related execution complexity,Cost synergies; Revenue synergies,7
Synopsys / Ansys,35.0,2024-01-16,Technology (EDA/Simulation),Cash + Stock,Completed,False,Silicon-to-systems design platform; simulation capabilities,Large-Cap ($20-50B),Size-related execution complexity; Tech integration risk; talent retention,Platform/capability expansion,7
Diamondback Energy / Endeavor Energy Resources,26.0,2024-02-12,Energy (E&P),Cash + Stock,Completed,False,Permian Basin consolidation; scale and cost efficiencies,Large-Cap ($20-50B),Standard execution risk,Cost synergies; Market consolidation,7
ConocoPhillips / Marathon Oil,22.5,2024-05-29,Energy (E&P),Stock-for-Stock,Completed,False,Multi-basin diversification; inventory depth in shale,Large-Cap ($20-50B),Standard execution risk,Strategic repositioning,7
Hewlett Packard Enterprise / Juniper Networks,14.0,2024-01-09,Technology (Networking),Cash Acquisition,Blocked (DOJ),False,AI-driven networking; campus and data center portfolio,Mid-Cap ($10-20B),DEAL BLOCKED — regulatory intervention; Tech integration risk; talent retention,Revenue synergies,7
Johnson & Johnson / Intra-Cellular Therapies,14.6,2025-01-13,Pharmaceuticals,Cash Acquisition,Completed,False,CNS neuroscience pipeline; Caplyta revenue stream,Mid-Cap ($10-20B),Standard execution risk,Revenue synergies; Platform/capability expansion,5
Alphabet (Google) / Wiz,32.0,2025-03-18,Technology (Cybersecurity),Cash Acquisition,Pending Regulatory,True,Cloud security leadership; multi-cloud posture management,Large-Cap ($20-50B),Cross-border regulatory risk (CFIUS/antitrust); Size-related execution complexity; Regulatory approval uncertainty; Tech integration risk; talent retention,Strategic repositioning,10
Cisco Systems / Splunk,28.0,2023-09-21,Technology (Observability),Cash Acquisition,Completed,False,Security + observability platform; recurring revenue shift,Large-Cap ($20-50B),Tech integration risk; talent retention,Revenue synergies; Platform/capability expansion,7
AbbVie / ImmunoGen,10.1,2023-11-30,Pharmaceuticals (Oncology),Cash Acquisition,Completed,False,ADC platform (antibody-drug conjugates); oncology pipeline,Mid-Cap ($10-20B),Standard execution risk,Platform/capability expansion,5
Nippon Steel / United States Steel Corp,14.9,2023-12-18,Materials (Steel),Cash Acquisition,Blocked (CFIUS),True,Global steel capacity; US market access,Mid-Cap ($10-20B),Cross-border regulatory risk (CFIUS/antitrust); DEAL BLOCKED — regulatory intervention,Market consolidation,8
BlackRock / Global Infrastructure Partners,12.5,2024-01-12,Financial Services (Alt Assets),Cash + Stock,Completed,False,Infrastructure AUM growth; private markets expansion,Mid-Cap ($10-20B),Standard execution risk,Market consolidation,5
Exxon Mobil / Pioneer Natural Resources,64.5,2023-10-11,Energy (E&P),Stock-for-Stock,Completed,False,Permian Basin dominance; 40+ years of drilling inventory,Mega-Deal (>$50B),Size-related execution complexity,Market consolidation,7
Broadcom / VMware,69.0,2022-05-26,Technology (Virtualization),Cash + Stock,Completed,False,Enterprise software diversification; subscription transition,Mega-Deal (>$50B),Size-related execution complexity; Tech integration risk; talent retention,Strategic repositioning,7
Danaher / Abcam,5.7,2023-07-20,Life Sciences,Cash Acquisition,Completed,True,Biologics reagents leadership; proteomics research tools,Core Middle Market (<$10B),Cross-border regulatory risk (CFIUS/antitrust),Strategic repositioning,6
Silver Lake / Canada Pension / Endeavor Group Holdings,13.0,2024-04-02,Media & Entertainment,Take-Private (LBO),Completed,False,Sports & entertainment assets; UFC + WWE consolidation play,Mid-Cap ($10-20B),Leverage risk (PE sponsor deal),Market consolidation,5
GTCR / Worldpay (from FIS),18.5,2024-02-01,Financial Technology (Payments),Take-Private (LBO),Completed,False,Merchant acquiring at scale; separation from FIS,Mid-Cap ($10-20B),Leverage risk (PE sponsor deal); Tech integration risk; talent retention,Cost synergies,5
Novo Holdings / Catalent,16.5,2024-02-05,Healthcare (CDMO),Cash Acquisition,Completed,True,Biologics manufacturing capacity for Novo Nordisk pipeline,Mid-Cap ($10-20B),Cross-border regulatory risk (CFIUS/antitrust),Platform/capability expansion,6
Bain Capital / Envestnet,4.5,2024-07-10,Financial Technology (Wealth),Take-Private (LBO),Completed,False,Wealth management data platform; advisor tech modernization,Core Middle Market (<$10B),Leverage risk (PE sponsor deal); Tech integration risk; talent retention,Platform/capability expansion,5
Veritas Capital / Evergreen / Cotiviti (from Verscend),11.0,2024-01-08,Healthcare Analytics,Sponsor-to-Sponsor LBO,Completed,False,Healthcare payment accuracy; AI-driven claims analytics,Mid-Cap ($10-20B),Leverage risk (PE sponsor deal),Strategic repositioning,5
